,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
134,9.507563561226555e-11,4.4103963619814375e-10,True,True
135,1.8151139111493647e-07,5.523356141466493e-07,True,True
136,1.1468112956334361e-07,3.578606418364814e-07,True,True
138,1.875344579665394e-05,4.332251619914373e-05,True,True
140,2.3291981658368658e-07,6.986785607715203e-07,True,True
141,3.4699522545195765e-21,6.41792560993851e-20,True,True
142,2.913101859335017e-11,1.4292483561491742e-10,True,True
143,0.000740791942988418,0.0013550593832194959,True,True
144,0.0003480616015259343,0.0006690513148281424,True,True
146,0.03413146320944477,0.04814018835264194,True,True
147,7.166768871097951e-19,9.545561468636632e-18,True,True
150,9.296801397873285e-05,0.00019417512289718415,True,True
151,4.2883347903164655e-09,1.6178419633701015e-08,True,True
154,2.404916013686405e-10,1.060902046384899e-09,True,True
155,7.169389654366798e-13,4.31236790665691e-12,True,True
156,1.2503106059906648e-22,2.8405834164979274e-21,True,True
157,0.0315950474610466,0.04481153077911166,True,True
158,2.1471575586842923e-20,3.5091908066481694e-19,True,True
161,6.752375462279402e-16,6.053310125110362e-15,True,True
162,0.00024082984322249033,0.0004737883545915637,True,True
163,1.5582873281592786e-16,1.5286435885264927e-15,True,True
165,1.3216602389349424e-07,4.094634258895468e-07,True,True
166,0.00023009334807207884,0.0004544258131868255,True,True
167,0.008522686045828806,0.013282612064880855,True,True
169,9.899928743400996e-05,0.00020597527284385429,True,True
170,6.448093782850584e-07,1.8272772325909423e-06,True,True
171,1.0564877526698783e-05,2.523969841982042e-05,True,True
172,0.0003101989137568846,0.000600009655710467,True,True
173,0.0007234501319163753,0.0013257240934396292,True,True
174,2.8398468725074033e-06,7.3628027498972524e-06,True,True
175,7.57014712604408e-05,0.00016016447226259824,True,True
177,1.7391364162808223e-15,1.464826016150717e-14,True,True
178,1.0159860664611101e-27,5.318533120641115e-26,True,True
182,1.6481932633958616e-08,5.7566798676028116e-08,True,True
183,6.687246820490723e-07,1.8903974607098223e-06,True,True
184,2.72081306035857e-09,1.0507946706392645e-08,True,True
185,0.001914860727514358,0.003297370321751449,True,True
187,4.63276927255518e-05,0.00010101109325178687,True,True
188,2.5359620229723065e-11,1.254905297818579e-10,True,True
189,1.5633539425296407e-05,3.650573040983988e-05,True,True
191,1.2237104639643996e-22,2.7907224579217613e-21,True,True
193,1.4368913574010732e-27,7.376508193797821e-26,True,True
194,1.9500960339726855e-05,4.493518605692696e-05,True,True
195,0.004711481876905594,0.007619439189622181,True,True
197,0.00043471018643520483,0.0008242364691766176,True,True
198,0.02041201318246076,0.02990057896438647,True,True
199,2.0072826529599268e-06,5.313485723242834e-06,True,True
200,0.009648466972414697,0.014903189104834038,True,True
201,3.178917078351721e-13,2.014519168324504e-12,True,True
202,2.194543399643084e-11,1.0953694663055266e-10,True,True
204,2.2822824363119944e-06,5.995503206704639e-06,True,True
205,0.01876839458150811,0.027638224907983344,True,True
209,6.27830377864464e-17,6.525733921545497e-16,True,True
210,0.00610028243195309,0.009706399466886766,True,True
211,5.314189556632262e-05,0.00011505530090339933,True,True
214,1.5423155435897202e-06,4.144913039127632e-06,True,True
216,2.850651546630171e-29,2.001829490570577e-27,True,True
217,3.4172614740916336e-26,1.3355925783921486e-24,True,True
218,1.4578692640559842e-05,3.416726568520842e-05,True,True
219,0.0007291316286548436,0.001335568750398942,True,True
220,0.0011214552593864957,0.0020001176549557832,True,True
221,0.0007686935427748727,0.0014032739037763843,True,True
223,2.660943069691577e-07,7.926847996020347e-07,True,True
224,0.00015701993940059965,0.00031740222948108577,True,True
225,2.4629341731421785e-12,1.3778234404478996e-11,True,True
227,3.7864365321302363e-13,2.3708115655146732e-12,True,True
228,0.010513966848600849,0.01613044203459855,True,True
229,5.68665214039101e-10,2.4030556684259958e-09,True,True
230,0.026062476670548944,0.037506604838698186,True,True
231,1.0008263085937003e-18,1.3078119879694533e-17,True,True
232,0.002715758085084763,0.004566353992587043,True,True
234,1.0181234608936182e-09,4.1697683231240524e-09,True,True
235,6.285965229519144e-11,2.9718130634905095e-10,True,True
236,7.70810494320832e-23,1.822920684685982e-21,True,True
238,6.7067391570396645e-15,5.2639218054457156e-14,True,True
239,3.6770204463759524e-20,5.832922700747895e-19,True,True
240,1.6031879833336863e-25,5.606289961961423e-24,True,True
241,4.600936089556319e-08,1.5142154876564186e-07,True,True
242,9.028809052029736e-17,9.180263471089683e-16,True,True
243,0.00019340807595815418,0.00038592973921143964,True,True
244,0.02242885551437807,0.032614350085091004,True,True
245,6.987641812366377e-08,2.2432914385547142e-07,True,True
